table,column,source_dtype,non_null,null_pct,n_unique,sample,min,median,max
active_viewer_score_table,channel_id,object,3336,0.0,3336,UCy2bCk5KnIfjmWYFHMZcd5w,,,
active_viewer_score_table,title,object,3336,0.0,3336,RosaliaVEVO,,,
active_viewer_score_table,subscriber_count,int64,3336,0.0,775,137000,98900.0,283000.0,1490000.0
active_viewer_score_table,avg_view_count,float64,3336,0.0,3335,30169503.76,0.0,74629.64,30169503.76
active_viewer_score_table,view_per_sub,float64,3336,0.0,3335,220.2153559124072,0.0,0.2462,220.215356
active_viewer_score_table,cluster,int64,3336,0.0,4,1,0.0,0.0,3.0
active_viewer_score_table,cluster_name,object,3336,0.0,4,슈퍼팬 (최고 활성),,,
active_viewer_score_table,active_viewer_score,float64,3251,2.548,653,0.9518,0.1653,0.6065,0.9518
sensitive_keyword_score_table,channel_id,object,3336,0.0,3336,UCdf4di4k4fU5lio8ZXQx6mQ,,,
sensitive_keyword_score_table,channel_title,object,3336,0.0,3336,루스명품,,,
sensitive_keyword_score_table,sensitive_score,float64,3336,0.0,62,0.7733,0.0,0.0133,0.7733
sensitive_keyword_score_table,n_sensitive_videos,int64,3336,0.0,29,37,0.0,1.0,47.0
sensitive_keyword_score_table,sensitive_video_ratio,float64,3336,0.0,35,0.74,0.0,0.02,0.94
sensitive_keyword_score_table,cat_politics,int64,3336,0.0,19,0,0.0,0.0,46.0
sensitive_keyword_score_table,cat_hate,int64,3336,0.0,5,0,0.0,0.0,4.0
sensitive_keyword_score_table,cat_aggro,int64,3336,0.0,28,2,0.0,1.0,52.0
sensitive_keyword_score_table,cat_adult_illegal,int64,3336,0.0,6,37,0.0,0.0,37.0
upload_regularity_score_table,channel_id,object,3333,0.0,3333,UCMYu489PAK30L1eYR4eQJmA,,,
upload_regularity_score_table,channel_title,object,3333,0.0,3333,킥튜브,,,
upload_regularity_score_table,regularity_score,float64,3333,0.0,2240,1.0,0.3577,0.6385,1.0
upload_regularity_score_table,mean_interval_days,float64,3333,0.0,443,0.0,0.0,3.6,108.0
upload_regularity_score_table,std_interval_days,float64,3333,0.0,705,0.0,0.0,3.7,461.2
upload_regularity_score_table,max_gap_days,float64,3333,0.0,545,0.0,0.0,18.0,3231.0
upload_regularity_score_table,cv,float64,3333,0.0,1902,0.0,0.0,1.166,6.836
upload_regularity_score_table,outlier_ratio,float64,3333,0.0,30,0.0,0.0,0.0612,0.3469
upload_regularity_score_table,gap_ratio,float64,3333,0.0,1410,0.0,0.0,5.24,48.36
channel_prediction_table,channel_id,object,8083,0.0,8083,UC--8ua5dEkuY26fgWkpkz3Q,,,
channel_prediction_table,title,object,8083,0.0,8074,하늘석양,,,
channel_prediction_table,churn_actual_label,int64,8083,0.0,2,0,0.0,0.0,1.0
